51,"H23{2.55402, 0, -0.023103}"
51,"H24{3.224338, 0, 0.024424}"
51,"H35{3.128695, 0, 2.138097}"
51,"H45{3.700979, 0, 2.376617}"
52,"P0{0, 0, 0}"
52,"P1{-0.1453, 0, -1.1232}"
52,"S01{1.261219, 0, -0.985372}"
52,"H02{0.235091, 0, -0.183673}"
52,"H13{2.312926, 0, -0.882313}"
52,"H23{2.554921, 0, 0.011196}"
52,"H24{3.224563, 0, 0.067447}"
52,"H35{3.139531, 0, 2.16973}"
52,"H45{3.707497, 0, 2.418356}"
53,"P0{0, 0, 0}"
53,"P1{-0.1453, 0, -1.1232}"
53,"S01{1.278224, 0, -0.963211}"
53,"H02{0.238261, 0, -0.179542}"
53,"H13{2.309246, 0, -0.847335}"
53,"H23{2.555403, 0, 0.045037}"
53,"H24{3.224269, 0, 0.109864}"
53,"H35{3.150067, 0, 2.200823}"
53,"H45{3.713543, 0, 2.459462}"
54,"P0{0, 0, 0}"
54,"P1{-0.1453, 0, -1.1232}"
54,"S01{1.29484, 0, -0.940756}"
54,"H02{0.241358, 0, -0.175357}"
54,"H13{2.305115, 0, -0.81277}"
54,"H23{2.555484, 0, 0.07843}"
54,"H24{3.223478, 0, 0.151687}"
54,"H35{3.160322, 0, 2.231383}"
54,"H45{3.719137, 0, 2.499947}"
55,"P0{0, 0, 0}"
55,"P1{-0.1453, 0, -1.1232}"
55,"S01{1.311061, 0, -0.918015}"
55,"H02{0.244382, 0, -0.171118}"
55,"H13{2.300545, 0, -0.778608}"
55,"H23{2.555178, 0, 0.111383}"
55,"H24{3.222211, 0, 0.192929}"
55,"H35{3.170318, 0, 2.261415}"
55,"H45{3.724293, 0, 2.539824}"
56,"P0{0, 0, 0}"
56,"P1{-0.1453, 0, -1.1232}"
56,"S01{1.326883, 0, -0.894994}"
56,"H02{0.247331, 0, -0.166827}"
56,"H13{2.295549, 0, -0.744839}"
56,"H23{2.5545, 0, 0.143904}"
56,"H24{3.220487, 0, 0.2336}"
56,"H35{3.180073, 0, 2.290925}"
56,"H45{3.72903, 0, 2.579103}"
57,"P0{0, 0, 0}"
57,"P1{-0.1453, 0, -1.1232}"
57,"S01{1.342301, 0, -0.8717}"
57,"H02{0.250205, 0, -0.162485}"
57,"H13{2.29014, 0, -0.711455}"
57,"H23{2.553466, 0, 0.176002}"
57,"H24{3.218324, 0, 0.27371}"
57,"H35{3.189607, 0, 2.319915}"
57,"H45{3.73336, 0, 2.617796}"
58,"P0{0, 0, 0}"
58,"P1{-0.1453, 0, -1.1232}"
58,"S01{1.357309, 0, -0.848141}"
58,"H02{0.253002, 0, -0.158093}"
58,"H13{2.284328, 0, -0.678446}"
58,"H23{2.552087, 0, 0.207683}"
58,"H24{3.215741, 0, 0.313268}"
58,"H35{3.198938, 0, 2.348389}"
58,"H45{3.737296, 0, 2.655912}"
59,"P0{0, 0, 0}"
59,"P1{-0.1453, 0, -1.1232}"
59,"S01{1.371905, 0, -0.824324}"
59,"H02{0.255723, 0, -0.153654}"
59,"H13{2.278126, 0, -0.645806}"
59,"H23{2.550378, 0, 0.238954}"
59,"H24{3.212753, 0, 0.352284}"
59,"H35{3.208083, 0, 2.37635}"
59,"H45{3.74085, 0, 2.693462}"
60,"P0{0, 0, 0}"
60,"P1{-0.1453, 0, -1.1232}"
